Street Address,Zip Code,List Price,Lat,Long,Tax Ammount,School Dist,List Date
"14407 Sandifer ST, Austin TX 78725",78725,200000,30.236913,-97.588632,3254.0,Del Valle ISD,2019-03-16
"209 Diamond Point DR, Dripping Springs TX 78620",78620,300000,30.195191,-98.08424,6677.0,Dripping Springs ISD,2019-04-01
"2315 Howry DR, Georgetown TX 78626",78626,200000,30.628371,-97.653496,4625.0,Georgetown ISD,2019-03-23
"107 Birdie DR, The Hills TX 78738",78738,400000,30.353846,-97.987496,4990.0,Lake Travis ISD,2019-03-29
"3801 Manchaca RD # 23, Austin TX 78704",78704,300000,30.235677,-97.784198,5195.0,Austin ISD,2019-04-04
"222 West AVE # 1912, Austin TX 78701",78701,500000,30.267401,-97.75204,11181.0,Austin ISD,2019-03-07
"5834 Casstello DR, Round Rock TX 78665",78665,300000,30.564582,-97.601608,9655.0,Hutto ISD,2019-01-17
"18301 Great Valley DR, Manor TX 78653",78653,200000,30.324618,-97.52842,3650.0,Manor ISD,2019-03-14
"2312 Jake Pickle PASS, Leander TX 78641",78641,300000,30.559466,-97.80258,7337.0,Leander ISD,2019-03-15
"9901 Nocturne CV, Austin TX 78750",78750,700000,30.442635,-97.800417,8563.0,Round Rock ISD,2019-03-23
"9821 Childress DR, Austin TX 78753",78753,300000,30.357438,-97.67285,4520.0,Austin ISD,2019-03-08
"11909 Cavan CT, Austin TX 78754",78754,300000,30.356375,-97.605276,7016.0,Manor ISD,2019-03-08
"158 Lakewood DR, Bastrop TX 78602",78602,200000,30.081751,-97.259488,965.0,Bastrop ISD,2019-03-15
"805 Heritage Springs TRL, Round Rock TX 78664",78664,300000,30.50648,-97.660593,5635.0,Round Rock ISD,2019-03-28
"401 Sunfish ST, Lakeway TX 78734",78734,500000,30.367204,-97.990081,7646.0,Lake Travis ISD,2019-04-16
"20100 Kearney Hill RD, Pflugerville TX 78660",78660,300000,30.480692,-97.57769,7834.0,Pflugerville ISD,2019-04-18
"6200 Wynona AVE, Austin TX 78757",78757,500000,30.337878,-97.741522,11934.0,Austin ISD,2019-05-01
"1165 CURVE ST, Austin TX 78702",78702,1000000,30.270327,-97.729628,17500.0,Austin ISD,2019-02-07
"10613 Portico LN, Austin TX 78748",78748,300000,30.166981,-97.8346,6624.0,Austin ISD,2019-02-16
"16407 Knottingham DR, Pflugerville TX 78660",78660,200000,30.454438,-97.645228,4568.0,Pflugerville ISD,2019-05-03
"3808 Water Oak DR, Killeen TX 76542",76542,100000,31.068622,-97.710364,2458.0,Killeen ISD,2019-05-06
"13417 Rossello DR, Austin TX 78729",78729,300000,30.453296,-97.752708,4639.98,Round Rock ISD,2019-05-08
"7906 El Dorado DR, Austin TX 78737",78737,700000,30.215726,-97.903963,10041.0,Austin ISD,2019-03-28
"1410 Laguna CV, Hutto TX 78634",78634,200000,30.531024,-97.561807,5914.0,Hutto ISD,2019-04-01
