Street Address,Zip Code,List Price,Lat,Long,Tax Ammount,School Dist,List Date
"000 CR 414, Other TX 77836",77836,100000,30.36028,-96.58639,1531.05,Other,2016-03-17
"Tract 5 Werchan LN, Coupland TX 78615",78615,100000,30.422918,-97.41613,574.0,Elgin ISD,2016-04-29
"4428 W Fm 696, Lexington TX 78947",78947,300000,30.388415,-97.156365,2117.0,Lexington ISD,2016-07-22
"635 Ramms DR, Florence TX 76527",76527,200000,30.883451,-97.783819,2144.0,Florence ISD,2016-06-04
"000 Mulberry CV, Bastrop TX 78602",78602,200000,30.169817,-97.237879,815.0,Bastrop ISD,2016-04-21
"000 Hidden Bluff, Smithville TX 78957",78957,100000,30.055583,-97.202922,1107.0,Smithville ISD,2016-03-24
"1207 Bell Springs RD, Dripping Springs TX 78620",78620,700000,30.28522,-98.101217,10661.0,Dripping Springs ISD,2016-03-25
"0 County Road 402, Marble Falls TX 78654",78654,100000,30.56423,-98.206406,2668.0,Marble Falls ISD,2016-07-22
"470 Private Road 948, Florence TX 76527",76527,100000,30.869501,-97.757462,2655.0,Florence ISD,2016-07-26
"298 Upper Elgin River RD, Elgin TX 78621",78621,600000,30.332174,-97.403823,11841.0,Elgin ISD,2016-11-30
"0001 County Rd 405, Taylor TX 76574",76574,200000,30.487624,-97.437135,380.0,Taylor ISD,2016-09-06
"2389 Barton Creek Road CRK, Smithville TX 78957",78957,300000,29.943467,-97.11182,1181.0,Smithville ISD,2016-09-03
"18700 San Marcos HWY, Martindale TX 78655",78655,500000,29.8614,-97.862459,6500.0,San Marcos ISD,2016-09-09
"15.5 Acres Graef RD, Niederwald TX 78640",78640,200000,30.021309,-97.754173,600.0,Hays ISD,2016-09-12
"Lot 6 Hwy 95, Cistern TX 78941",78941,200000,29.834615,-97.210098,47.0,Flatonia ISD,2016-09-16
"176D McVay LN, Elgin TX 78621",78621,600000,30.321153,-97.370141,255.76,Elgin ISD,2016-09-23
"1456 Highway 304, Smithville TX 78957",78957,200000,30.033599,-97.310782,47.0,Bastrop ISD,2016-08-17
"3140 Hyw 159, La Grange TX 78945",78945,1000000,29.928276,-96.838219,4226.0,La Grange ISD,2016-08-19
"13.38 Taylorsville RD, Dale TX 78616",78616,100000,29.92513,-97.534895,600.0,Lockhart ISD,2016-08-27
"0 W State Hwy 29, Bertram TX 78605",78605,600000,30.748927,-98.104165,147.0,Burnet ISD,2016-08-30
"0 6864 County Rd 200, Burnet TX 78611",78611,400000,30.810312,-98.131642,302.0,Burnet ISD,2016-08-31
"1061 County Rd 355, Granger TX 76530",76530,100000,30.732335,-97.433233,115.0,Granger ISD,2016-11-25
"2139 County Road 414, Lexington TX 78947",78947,100000,30.472239,-96.937771,12.0,Lexington ISD,2016-11-28
"7624 Tecoma CIR # 7107, Austin TX 78735",78735,2000,-1.0,-1.0,,Austin ISD,2016-04-06
