Street Address,Zip Code,List Price,Lat,Long,Tax Ammount,School Dist,List Date
"1001 Fm 3403, Lexington TX 78947",78947,100000,30.358711,-96.972794,1895.0,Lexington ISD,2017-12-05
"9110 Bluff Springs RD, Austin TX 78744",78744,400000,30.15651,-97.770436,2917.0,Austin ISD,2017-11-13
"2721 Citation DR, Del Valle TX 78617",78617,2000,30.208155,-97.519728,,Del Valle ISD,2017-11-06
"2125 State Highway 71 HWY W # B, Cedar Creek TX 78612",78612,1000,30.14365,-97.477948,,Bastrop ISD,2017-11-14
"408 Farmer LN, Jarrell TX 76537",76537,1000,30.811762,-97.593603,,Jarrell ISD,2017-11-14
"1309 Southport DR # D, Austin TX 78704",78704,1000,30.232746,-97.775967,,Austin ISD,2017-12-01
"2515 Pearl ST # 603, Austin TX 78705",78705,4000,30.290479,-97.746244,,Austin ISD,2017-12-14
"000 I-10, Schulenburg TX 78956",78956,700000,29.689842,-96.920208,100.0,Schulenburg ISD,2017-04-10
"20 Bell Springs RD, Dripping Springs TX 78620",78620,900000,30.226891,-98.121249,1000.0,Dripping Springs ISD,2017-06-15
"000 Hwy 77, Other TX 76656",76656,400000,31.236479,-97.050211,800.0,Other,2017-05-22
"7510 Fm 713, Dale TX 78616",78616,200000,29.854082,-97.501167,1818.0,Lockhart ISD,2017-08-22
"6420 Beckendorff RD, Other TX 77474",77474,800000,29.709421,-96.225469,5790.0,Other,2017-08-24
"6098 FM 1458, Other TX 77474",77474,300000,29.712988,-96.049577,120.0,Other,2017-09-29
"11235 Grand Summit BLVD, Dripping Springs TX 78620",78620,1000000,30.292559,-98.107862,7446.0,Dripping Springs ISD,2017-11-29
"11420 Schriber RD, Buda TX 78610",78610,900000,30.077511,-97.677151,160.0,Del Valle ISD,2017-12-04
"6108 Cape Coral DR, Austin TX 78746",78746,5000,30.28361,-97.836749,,Eanes ISD,2017-11-27
"909 Duncan LN # C, Austin TX 78705",78705,900,30.292016,-97.725174,,Austin ISD,2017-12-18
"1840 Burton DR # 176, Austin TX 78741",78741,1000,30.235146,-97.730012,,Austin ISD,2017-12-30
,78605,300000,30.849156,-98.088759,50.0,Burnet ISD,2017-03-03
"193 E U S Hwy 290 N, Manor TX 78653",78653,5000000,30.34937,-97.546475,1055.0,Elgin ISD,2017-02-06
"002 FM 2672 & I-10, Schulenburg TX 78956",78956,300000,29.688696,-96.927905,28.0,Schulenburg ISD,2017-04-10
"Lot 31 Three Creeks DR, Bertram TX 78605",78605,100000,30.644977,-98.143969,12.0,Burnet ISD,2017-04-10
"6300 Wolf LN, Del Valle TX 78617",78617,2000000,30.166583,-97.552671,46641.0,Del Valle ISD,2017-04-29
"000 Felix Rd, Smithville TX 78957",78957,200000,30.079601,-97.20894,1335.0,Smithville ISD,2017-05-10
"n/a County Rd 345, Granger TX 76530",76530,300000,30.669653,-97.441065,297.0,Granger ISD,2017-06-30
"Lot 2-B Crown Lane, Burnet TX 78611",78611,300000,30.69504,-98.356174,20.0,Burnet ISD,2017-07-06
"750 County Road 146, Georgetown TX 78633",78633,1000000,30.757892,-97.646,456.0,Jarrell ISD,2017-10-31
"470 Lower Elgin RD # A, Elgin TX 78621",78621,500000,30.259425,-97.394886,1556.0,Elgin ISD,2017-12-08
"00 Judges Rd., Burnet TX 78611",78611,200000,30.825782,-98.134196,1000.57,Burnet ISD,2017-12-12
"0 Kettler RD, Other TX 77833",77833,500000,30.329303,-96.303781,3710.0,Other,2017-11-14
"TBD Fm 20 East, Dale TX 78616",78616,300000,29.894575,-97.586511,400.0,Lockhart ISD,2017-12-24
"2401 Windy Hill RD, Kyle TX 78640",78640,600000,30.034474,-97.809127,4664.0,Hays ISD,2017-12-26
"7805 Cooper LN # 402, Austin TX 78745",78745,200000,30.185459,-97.793697,6200.0,Austin ISD,2017-10-30
"4386 Barchetta DR, Round Rock TX 78665",78665,400000,30.577789,-97.65424,10467.0,Round Rock ISD,2017-10-10
"6200 Walnut Hills DR, Austin TX 78723",78723,400000,30.308273,-97.676441,8687.0,Austin ISD,2017-10-20
"8504 Del Carmen CV, Austin TX 78759",78759,800000,30.417488,-97.792513,13766.0,Round Rock ISD,2017-10-27
"201 San Gabriel Hideaway CV, Liberty Hill TX 78642",78642,500000,30.709407,-97.909219,1299.0,Liberty Hill ISD,2017-10-24
"324 El Socorro LN, Austin TX 78732",78732,400000,30.348477,-97.914259,4292.0,Leander ISD,2017-12-05
"8609 Ken Aaron CT, Austin TX 78717",78717,300000,30.493173,-97.737034,6945.0,Round Rock ISD,2017-11-15
"1717 W 30th ST, Austin TX 78703",78703,500000,30.303091,-97.756267,12085.0,Austin ISD,2017-12-06
"715 E 43rd ST, Austin TX 78751",78751,600000,30.302821,-97.722814,10344.0,Austin ISD,2017-11-09
"15597 Maxdale RD, Killeen TX 76549",76549,300000,30.997323,-97.808252,1152.0,Killeen ISD,2017-09-28
"161 Basel ST, New Braunfels TX 78130",78130,300000,29.708005,-98.117626,5521.0,New Braunfels ISD,2017-11-15
"238 W Bartlett DR, Buda TX 78610",78610,500000,30.073267,-97.919237,8471.0,Hays ISD,2017-10-04
"2729 Checker DR, Cedar Park TX 78613",78613,300000,30.487802,-97.858383,4980.0,Leander ISD,2017-10-09
"4074 W Highway 21, Paige TX 78659",78659,100000,30.230872,-97.034996,1830.0,Giddings ISD,2017-10-24
"3802 Caney Creek RD, Austin TX 78732",78732,300000,30.377922,-97.88931,3734.0,Leander ISD,2017-12-02
"3902 Bonnie LN, Round Rock TX 78665",78665,300000,30.564139,-97.665378,6087.0,Round Rock ISD,2017-11-18
"1620 Bryant DR # 501, Round Rock TX 78664",78664,200000,30.492228,-97.650038,4987.0,Round Rock ISD,2017-12-01
"4709 Gonzales ST # B, Austin TX 78702",78702,400000,30.255989,-97.699468,8800.0,Austin ISD,2017-11-22
"2381 Johnson RD, Canyon Lake TX 78133",78133,400000,29.890911,-98.185537,6024.0,Comal ISD,2017-11-16
"3111 E 13th ST # B, Austin TX 78702",78702,500000,30.277222,-97.701626,5997.0,Austin ISD,2017-12-20
"2004 Vallejo ST, Austin TX 78757",78757,400000,30.343312,-97.735231,7926.0,Austin ISD,2017-12-22
