Street Address,Zip Code,List Price,Lat,Long,Tax Ammount,School Dist,List Date
"11900 FM 2325, Wimberley TX 78676",78676,1000000,30.101981,-98.253937,13637.0,Blanco ISD,2018-01-30
"16308 Double Eagle DR, Austin TX 78717",78717,400000,30.506214,-97.756945,10274.0,Round Rock ISD,2018-07-27
"10300 Maydelle DR, Austin TX 78748",78748,300000,30.165736,-97.823884,5357.0,Austin ISD,2018-08-26
"5806 Circulo DR # 16, Lago Vista TX 78645",78645,100000,30.456308,-97.993109,2616.0,Lago Vista ISD,2018-04-06
"5100 Lea CV, Austin TX 78731",78731,700000,30.372487,-97.773488,11550.0,Austin ISD,2018-06-24
"1132 Brecon LN, Austin TX 78748",78748,300000,30.185314,-97.80585,7007.0,Austin ISD,2018-08-10
"4524 Harvey Penick DR, Round Rock TX 78664",78664,600000,30.516054,-97.595323,12847.0,Round Rock ISD,2018-03-10
"5514 Avenue H # 2, Austin TX 78751",78751,500000,30.32003,-97.717575,10146.0,Austin ISD,2018-08-10
"712 Churchill Farms DR, Georgetown TX 78626",78626,300000,30.633553,-97.636223,5653.0,Georgetown ISD,2018-09-07
"102 Heintze ST, Thorndale TX 76577",76577,400000,30.614966,-97.21685,8817.0,Thorndale ISD,2018-05-29
"1036 Parkview DR, Canyon Lake TX 78133",78133,300000,29.903508,-98.217338,3813.0,Comal ISD,2018-03-27
"6714 Lost VLY, Austin TX 78745",78745,400000,30.214415,-97.824575,6716.0,Austin ISD,2018-08-15
"18408 Copper Grassland WAY, Pflugerville TX 78660",78660,400000,30.457044,-97.581343,12217.0,Pflugerville ISD,2018-04-25
"906 Maufrais ST, Austin TX 78703",78703,1000000,30.277259,-97.758227,14717.0,Austin ISD,2018-05-15
"6300 Carson RDG # A, Austin TX 78741",78741,300000,30.220812,-97.705876,4619.0,Austin ISD,2018-06-01
"10609 OAK VIEW DR, Austin TX 78759",78759,700000,30.421556,-97.775311,10500.0,Round Rock ISD,2018-08-09
"2602 White Moon DR, Harker Heights TX 76548",76548,200000,31.046784,-97.659132,6290.0,Killeen ISD,2018-08-15
"759 Riva Ridge RD, Leander TX 78641",78641,1000000,30.616582,-97.855103,12448.0,Leander ISD,2018-05-25
"1324 Twin Estates DR, Kyle TX 78640",78640,200000,29.98594,-97.836502,6463.0,Hays ISD,2018-05-20
"13717 Glen Mark DR, Manor TX 78653",78653,300000,30.3586,-97.54241,9047.0,Manor ISD,2018-04-24
"18008 Regis DR, Pflugerville TX 78660",78660,300000,30.472944,-97.631105,7579.0,Pflugerville ISD,2018-07-10
"166 Camino Del Sol, Del Valle TX 78617",78617,200000,30.089808,-97.602034,2841.0,Bastrop ISD,2018-05-31
"4312 Gallego CIR, Bee Cave TX 78738",78738,600000,30.313516,-97.963858,12141.0,Lake Travis ISD,2018-05-29
"2316 Aldworth DR, Cedar Park TX 78613",78613,600000,30.467166,-97.851148,15916.0,Leander ISD,2018-05-26
"14120 Arbor Hill CV, Manor TX 78653",78653,300000,30.363119,-97.538954,10927.0,Manor ISD,2018-03-23
"1904 Farnswood DR, Round Rock TX 78664",78664,200000,30.528262,-97.680026,4265.0,Round Rock ISD,2018-08-13
"136 Pine Hill LOOP # C, Bastrop TX 78602",78602,200000,30.09531,-97.26238,3597.0,Bastrop ISD,2018-03-18
"2217 Seabiscuit CV # 110, Spicewood TX 78669",78669,700000,30.409509,-97.991616,20206.0,Lake Travis ISD,2018-05-18
"3012 Spotted Wolf TRL, Austin TX 78734",78734,400000,30.383193,-97.918783,6512.0,Lake Travis ISD,2018-08-19
"6000 Shepherd Mountain CV # 604, Austin TX 78730",78730,200000,30.358247,-97.796338,4483.0,Austin ISD,2018-03-13
"208 Choke Canyon LN, Georgetown TX 78628",78628,300000,30.573051,-97.774346,8837.0,Leander ISD,2018-05-17
"117 Coers DR, San Marcos TX 78666",78666,300000,29.892415,-97.956721,4568.0,San Marcos ISD,2018-07-30
"228 Drystone TRL, Liberty Hill TX 78642",78642,300000,30.66232,-97.890595,6586.0,Liberty Hill ISD,2018-06-18
"12304 Noel Bain CV, Del Valle TX 78617",78617,300000,30.160708,-97.635005,7758.0,Del Valle ISD,2018-06-22
"1011 W 23rd ST # 103, Austin TX 78705",78705,200000,30.286999,-97.748921,3250.0,Austin ISD,2018-06-27
"6009 Hudson Bend RD, Austin TX 78734",78734,1000000,30.425176,-97.927393,15540.0,Lake Travis ISD,2018-05-18
"18101 Angel Valley DR, Leander TX 78641",78641,800000,30.514894,-97.899155,15285.0,Leander ISD,2018-05-25
"1001 Zodiac LN # 37, Round Rock TX 78665",78665,200000,30.561703,-97.663017,5006.0,Round Rock ISD,2018-06-05
"2700 Oakhurst AVE, Austin TX 78703",78703,4000000,30.297421,-97.752168,52875.0,Austin ISD,2018-05-17
"11900 Fm 963, Burnet TX 78611",78611,100000,30.861822,-98.109293,1564.0,Burnet ISD,2018-08-14
"3800 Bandice LN, Pflugerville TX 78660",78660,200000,30.452639,-97.570276,6422.0,Pflugerville ISD,2018-07-13
"9613 Corbe DR, Austin TX 78726",78726,600000,30.432231,-97.831223,12815.0,Round Rock ISD,2018-07-02
"11304 Pickard LN, Austin TX 78748",78748,300000,30.156748,-97.839151,7693.0,Austin ISD,2018-03-30
"12013 Buzz Schneider LN, Austin TX 78748",78748,300000,30.146913,-97.838171,5834.0,Austin ISD,2018-06-22
"30500 La Quinta DR, Georgetown TX 78628",78628,400000,30.706918,-97.678589,8359.0,Georgetown ISD,2018-07-13
"1023 Chad LOOP, Round Rock TX 78665",78665,200000,30.547834,-97.612753,6055.0,Hutto ISD,2018-07-30
"6806 Kings PT W, Austin TX 78723",78723,500000,30.311396,-97.667179,6144.0,Austin ISD,2018-07-23
"3750 E Palm Valley BLVD # 56, Round Rock TX 78665",78665,300000,30.530032,-97.625158,7508.0,Round Rock ISD,2018-08-30
"5006 Baker ST # B, Austin TX 78721",78721,300000,30.283102,-97.678943,3321.0,Austin ISD,2018-07-23
"7332 Vista Mountain DR, Austin TX 78731",78731,2000000,30.371558,-97.779958,26883.0,Austin ISD,2018-06-19
"656 County Road 1301, Lampasas TX 76550",76550,200000,31.134067,-98.31886,3091.0,Lampasas ISD,2018-08-01
"6500 Staghorn CV, Austin TX 78759",78759,800000,30.408326,-97.770216,15000.0,Round Rock ISD,2018-08-12
"412 Ballentine CT, Hutto TX 78634",78634,200000,30.523067,-97.54175,4638.0,Hutto ISD,2018-06-22
"623 Irvin DR, San Marcos TX 78666",78666,200000,29.944415,-97.896651,7038.0,Hays ISD,2018-07-18
"12212 Scribe DR, Austin TX 78759",78759,300000,30.416498,-97.713992,6240.0,Austin ISD,2018-09-05
