SiteName,ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
BOONE EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOONE EL,06/01/2017 12:00:00 AM,571.0,252.0,39.0,281.0,181684.97000000003
BOWIE H S,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOWIE H S,06/01/2017 12:00:00 AM,2878.0,290.0,77.0,2511.0,117057.5
BRENTWOOD EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRENTWOOD EL,06/01/2017 12:00:00 AM,654.0,144.0,18.0,492.0,88075.24
BROOKE EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BROOKE EL,06/01/2017 12:00:00 AM,273.0,237.0,23.0,13.0,183513.94
BRYKER WOODS EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRYKER WOODS EL,06/01/2017 12:00:00 AM,447.0,38.0,7.0,401.0,25021.55
BURNET MIDDLE,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BURNET MIDDLE,06/01/2017 12:00:00 AM,963.0,839.0,51.0,73.0,487314.07
CAMPBELL EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CAMPBELL EL,06/01/2017 12:00:00 AM,193.0,167.0,8.0,19.0,126974.68000000001
CASEY EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASEY EL,06/01/2017 12:00:00 AM,636.0,344.0,66.0,226.0,282626.92
CASIS EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASIS EL,06/01/2017 12:00:00 AM,825.0,27.0,3.0,794.0,15403.939999999999
CLAYTON EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CLAYTON EL,06/01/2017 12:00:00 AM,854.0,14.0,0.0,840.0,21181.280000000002
COOK EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COOK EL,06/01/2017 12:00:00 AM,529.0,477.0,27.0,25.0,309411.64999999997
COVINGTON MIDDLE,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COVINGTON MIDDLE,06/01/2017 12:00:00 AM,619.0,327.0,62.0,230.0,204753.81
COWAN ELEMENTARY,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COWAN ELEMENTARY,06/01/2017 12:00:00 AM,839.0,234.0,39.0,566.0,140786.85
CROCKETT H S,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CROCKETT H S,06/01/2017 12:00:00 AM,1489.0,850.0,123.0,516.0,279037.69
CUNNINGHAM EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CUNNINGHAM EL,06/01/2017 12:00:00 AM,417.0,241.0,29.0,147.0,159079.55000000002
DAVIS EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAVIS EL,06/01/2017 12:00:00 AM,820.0,207.0,26.0,587.0,104326.46999999999
DAWSON EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAWSON EL,06/01/2017 12:00:00 AM,351.0,263.0,26.0,61.0,225091.16999999998
DILL SPECIAL PROG,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DILL SPECIAL PROG,06/01/2017 12:00:00 AM,12.0,9.0,1.0,2.0,6086.959999999999
DOBIE MIDDLE,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE MIDDLE,06/01/2017 12:00:00 AM,610.0,537.0,33.0,41.0,313184.06999999995
DOBIE PK CENTER,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE PK CENTER,06/01/2017 12:00:00 AM,208.0,208.0,0.0,0.0,160035.0
DOSS EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOSS EL,06/01/2017 12:00:00 AM,880.0,104.0,27.0,749.0,77588.20999999999
EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS,06/01/2017 12:00:00 AM,545.0,431.0,44.0,69.0,191602.79
FULMORE MIDDLE,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,FULMORE MIDDLE,06/01/2017 12:00:00 AM,1027.0,605.0,65.0,357.0,330647.91
GALINDO EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GALINDO EL,06/01/2017 12:00:00 AM,598.0,524.0,24.0,50.0,348230.23
GARZA HIGH SCHOOL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GARZA HIGH SCHOOL,06/01/2017 12:00:00 AM,201.0,64.0,7.0,130.0,16306.199999999999
GORZYCKI MIDDLE SCHOOL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GORZYCKI MIDDLE SCHOOL,06/01/2017 12:00:00 AM,1289.0,45.0,16.0,1228.0,33644.89
GOVALLE EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GOVALLE EL,06/01/2017 12:00:00 AM,469.0,411.0,17.0,41.0,299363.11999999994
GRAHAM EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GRAHAM EL,06/01/2017 12:00:00 AM,699.0,520.0,73.0,106.0,344722.33999999997
GUERRERO THOMPSON,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GUERRERO THOMPSON,06/01/2017 12:00:00 AM,663.0,606.0,30.0,27.0,503154.17000000004
GULLETT EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GULLETT EL,06/01/2017 12:00:00 AM,556.0,46.0,9.0,501.0,26956.93
HARRIS EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HARRIS EL,06/01/2017 12:00:00 AM,633.0,590.0,19.0,24.0,443056.92
HART ELEMENTARY,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HART ELEMENTARY,06/01/2017 12:00:00 AM,703.0,631.0,45.0,27.0,535490.1099999999
HIGHLAND PARK EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HIGHLAND PARK EL,05/01/2017 12:00:00 AM,752.0,132.0,50.0,570.0,222681.81
HILL EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HILL EL,06/01/2017 12:00:00 AM,942.0,71.0,15.0,857.0,48664.43
HOUSTON EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HOUSTON EL,06/01/2017 12:00:00 AM,690.0,611.0,40.0,39.0,495663.33
INTERNATIONAL HIGH SCHOOL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,INTERNATIONAL HIGH SCHOOL,06/01/2017 12:00:00 AM,303.0,270.0,17.0,15.0,162764.78999999998
JORDAN EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,JORDAN EL,06/01/2017 12:00:00 AM,714.0,640.0,44.0,30.0,423481.13999999996
JOSLIN EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,JOSLIN EL,06/01/2017 12:00:00 AM,258.0,174.0,11.0,73.0,126416.67
KEALING M S,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,KEALING M S,06/01/2017 12:00:00 AM,1223.0,313.0,32.0,878.0,153404.16999999998
KIKER EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,KIKER EL,06/01/2017 12:00:00 AM,1052.0,46.0,7.0,999.0,36970.27
KOCUREK EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,KOCUREK EL,06/01/2017 12:00:00 AM,541.0,331.0,43.0,168.0,214149.24000000002
LAMAR MIDDLE,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LAMAR MIDDLE,06/01/2017 12:00:00 AM,1013.0,216.0,40.0,756.0,94766.88999999998
LANGFORD EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LANGFORD EL,06/01/2017 12:00:00 AM,620.0,547.0,44.0,29.0,470053.73000000004
LANIER H S,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LANIER H S,06/01/2017 12:00:00 AM,1612.0,1300.0,96.0,216.0,528948.47
LASA HIGH SCHOOL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LASA HIGH SCHOOL,06/01/2017 12:00:00 AM,1109.0,56.0,25.0,1028.0,35076.29
LBJ HIGH SCHOOL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LBJ HIGH SCHOOL,06/01/2017 12:00:00 AM,795.0,569.0,55.0,170.0,238233.92999999996
LEE EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LEE EL,06/01/2017 12:00:00 AM,406.0,55.0,8.0,343.0,38880.310000000005
LINDER EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LINDER EL,06/01/2017 12:00:00 AM,300.0,267.0,15.0,17.0,236138.25
MAPLEWOOD EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MAPLEWOOD EL,06/01/2017 12:00:00 AM,498.0,193.0,24.0,281.0,137422.77
MARTIN J H,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MARTIN J H,06/01/2017 12:00:00 AM,441.0,391.0,26.0,24.0,223556.56999999998
MATHEWS EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MATHEWS EL,06/01/2017 12:00:00 AM,439.0,132.0,14.0,292.0,80483.96
MCBEE ELEMENTARY,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MCBEE ELEMENTARY,06/01/2017 12:00:00 AM,444.0,401.0,19.0,24.0,277262.57
MCCALLUM H S,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MCCALLUM H S,05/01/2017 12:00:00 AM,1758.0,432.0,60.0,1267.0,131838.54
MENCHACA EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MENCHACA EL,06/01/2017 12:00:00 AM,744.0,298.0,43.0,403.0,183339.86
MENDEZ MIDDLE,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MENDEZ MIDDLE,06/01/2017 12:00:00 AM,725.0,634.0,52.0,39.0,419678.02
METZ EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,METZ EL,06/01/2017 12:00:00 AM,303.0,254.0,25.0,25.0,212106.85
MILLS ELEMENTARY,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MILLS ELEMENTARY,06/01/2017 12:00:00 AM,856.0,82.0,9.0,765.0,44538.02999999999
MURCHISON MIDDLE,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MURCHISON MIDDLE,06/01/2017 12:00:00 AM,1339.0,261.0,51.0,1027.0,123396.89999999998
NORMAN EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,NORMAN EL,06/01/2017 12:00:00 AM,266.0,242.0,15.0,9.0,174985.09999999998
O HENRY MIDDLE,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,O HENRY MIDDLE,06/01/2017 12:00:00 AM,866.0,202.0,39.0,626.0,97470.97
OAK HILL EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,OAK HILL EL,06/01/2017 12:00:00 AM,855.0,326.0,32.0,496.0,219657.63
OAK SPRINGS EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,OAK SPRINGS EL,06/01/2017 12:00:00 AM,326.0,314.0,4.0,9.0,229863.83000000002
ODOM EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ODOM EL,06/01/2017 12:00:00 AM,511.0,412.0,49.0,51.0,293218.62
ORTEGA EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ORTEGA EL,06/01/2017 12:00:00 AM,314.0,253.0,25.0,35.0,190335.22
OVERTON ELEMENTARY,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,OVERTON ELEMENTARY,06/01/2017 12:00:00 AM,664.0,595.0,34.0,35.0,380026.06000000006
PADRON EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PADRON EL,06/01/2017 12:00:00 AM,800.0,734.0,38.0,28.0,534042.7599999999
PALM EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PALM EL,06/01/2017 12:00:00 AM,475.0,362.0,57.0,56.0,329621.38
PAREDES MIDDLE SCHOOL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PAREDES MIDDLE SCHOOL,06/01/2017 12:00:00 AM,966.0,594.0,112.0,260.0,343864.46
PATTON EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PATTON EL,06/01/2017 12:00:00 AM,980.0,223.0,32.0,726.0,108728.83000000002
PEASE EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PEASE EL,06/01/2017 12:00:00 AM,243.0,35.0,7.0,201.0,26365.219999999998
PECAN SPRINGS EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PECAN SPRINGS EL,06/01/2017 12:00:00 AM,485.0,448.0,17.0,20.0,397871.36000000004
PEREZ EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PEREZ EL,06/01/2017 12:00:00 AM,728.0,586.0,62.0,81.0,478957.78
PICKLE ELEMENTARY,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PICKLE ELEMENTARY,06/01/2017 12:00:00 AM,653.0,603.0,27.0,23.0,518796.4600000001
PILLOW EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PILLOW EL,06/01/2017 12:00:00 AM,523.0,359.0,41.0,123.0,300433.05999999994
PLEASANT HILL EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PLEASANT HILL EL,06/01/2017 12:00:00 AM,509.0,405.0,54.0,50.0,315589.77
PREMIER H S AT LANIER,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PREMIER H S AT LANIER,06/01/2017 12:00:00 AM,117.0,91.0,4.0,22.0,13110.41
PREMIER H S AT TRAVIS,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PREMIER H S AT TRAVIS,06/01/2017 12:00:00 AM,164.0,127.0,10.0,27.0,17130.089999999997
READ PRE-K DEMONSTRATION SCH,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,READ PRE-K DEMONSTRATION SCH,06/01/2017 12:00:00 AM,325.0,325.0,0.0,0.0,250875.72
REAGAN H S,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,REAGAN H S,06/01/2017 12:00:00 AM,1212.0,939.0,87.0,186.0,347482.23
REILLY EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,REILLY EL,06/01/2017 12:00:00 AM,276.0,238.0,13.0,25.0,187494.29
RIDGETOP EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,RIDGETOP EL,06/01/2017 12:00:00 AM,330.0,107.0,17.0,205.0,80492.43
RODRIGUEZ EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,RODRIGUEZ EL,06/01/2017 12:00:00 AM,602.0,555.0,31.0,16.0,482107.0699999999
ROSEDALE DEVELOPMENT CTR.,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ROSEDALE DEVELOPMENT CTR.,06/01/2017 12:00:00 AM,220.0,73.0,6.0,141.0,20681.39
SANCHEZ EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SANCHEZ EL,06/01/2017 12:00:00 AM,348.0,308.0,24.0,16.0,229536.72999999998
SCHOOL FOR YOUNG MEN,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SCHOOL FOR YOUNG MEN,06/01/2017 12:00:00 AM,428.0,369.0,32.0,27.0,278541.05000000005
SCHOOL FOR YOUNG WOMEN,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SCHOOL FOR YOUNG WOMEN,06/01/2017 12:00:00 AM,399.0,332.0,35.0,32.0,232906.05
SIMS EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SIMS EL,06/01/2017 12:00:00 AM,230.0,200.0,18.0,12.0,141371.7
SMALL MS,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SMALL MS,06/01/2017 12:00:00 AM,1189.0,290.0,54.0,845.0,130113.91000000002
ST ELMO EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ST ELMO EL,06/01/2017 12:00:00 AM,281.0,222.0,19.0,40.0,184952.35
SUMMITT EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SUMMITT EL,06/01/2017 12:00:00 AM,835.0,233.0,69.0,533.0,155280.68
SUNSET VALLEY EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SUNSET VALLEY EL,06/01/2017 12:00:00 AM,534.0,287.0,17.0,230.0,237866.92999999996
T A BROWN EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,T A BROWN EL,06/01/2017 12:00:00 AM,337.0,306.0,14.0,16.0,183188.65999999997
TRAVIS H S,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,TRAVIS H S,06/01/2017 12:00:00 AM,1186.0,879.0,76.0,231.0,431140.44000000006
TRAVIS HTS CHARTER,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,TRAVIS HTS CHARTER,06/01/2017 12:00:00 AM,541.0,353.0,16.0,173.0,215583.82
UPHAUS EARLY CHILDHOOD CENTER,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,UPHAUS EARLY CHILDHOOD CENTER,06/01/2017 12:00:00 AM,307.0,278.0,7.0,22.0,220301.19999999998
WALNUT CREEK EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WALNUT CREEK EL,06/01/2017 12:00:00 AM,624.0,551.0,27.0,47.0,368343.57
WEBB MIDDLE,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WEBB MIDDLE,06/01/2017 12:00:00 AM,700.0,637.0,25.0,38.0,329306.86000000004
WEBB PRIMARY CENTER,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WEBB PRIMARY CENTER,06/01/2017 12:00:00 AM,259.0,237.0,11.0,10.0,207909.84
WIDEN EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WIDEN EL,06/01/2017 12:00:00 AM,558.0,494.0,36.0,29.0,408414.51
WILLIAMS EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WILLIAMS EL,06/01/2017 12:00:00 AM,464.0,317.0,59.0,88.0,229318.18
WINN EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WINN EL,06/01/2017 12:00:00 AM,243.0,207.0,20.0,16.0,157504.94
WOOLDRIDGE EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WOOLDRIDGE EL,06/01/2017 12:00:00 AM,615.0,547.0,30.0,38.0,386970.72
WOOTEN EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WOOTEN EL,06/01/2017 12:00:00 AM,569.0,508.0,20.0,41.0,341959.97
ZAVALA EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ZAVALA EL,06/01/2017 12:00:00 AM,342.0,312.0,13.0,17.0,215396.61000000002
ZILKER EL,2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ZILKER EL,06/01/2017 12:00:00 AM,563.0,103.0,21.0,440.0,62527.719999999994
AKINS H S,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AKINS H S,05/01/2018 12:00:00 AM,2745.0,1398.0,316.0,1031.0,799116.5200000001
ALLISON EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALLISON EL,05/01/2018 12:00:00 AM,482.0,482.0,0.0,0.0,357761.75
ALTERNATIVE LEARNING CTR,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALTERNATIVE LEARNING CTR,05/01/2018 12:00:00 AM,151.0,100.0,8.0,42.0,61382.200000000004
ANDERSON H S,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANDERSON H S,06/01/2018 12:00:00 AM,2022.0,394.0,79.0,1548.0,169132.66999999998
ANDREWS EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANDREWS EL,06/01/2018 12:00:00 AM,459.0,407.0,22.0,30.0,374724.18
ANN RICHARDS SCHOOL FOR YOUNG WOMEN LEADERS,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANN RICHARDS SCHOOL FOR YOUNG WOMEN LEADERS,06/01/2018 12:00:00 AM,751.0,328.0,77.0,346.0,190748.7
AUSTIN H S,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AUSTIN H S,05/01/2018 12:00:00 AM,2242.0,478.0,102.0,1662.0,171664.47999999998
BAILEY MIDDLE,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BAILEY MIDDLE,05/01/2018 12:00:00 AM,1005.0,259.0,69.0,677.0,125223.99999999999
BALDWIN ELEMENTARY,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BALDWIN ELEMENTARY,05/01/2018 12:00:00 AM,805.0,113.0,12.0,680.0,73178.24999999999
BARANOFF EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARANOFF EL,05/01/2018 12:00:00 AM,1021.0,103.0,26.0,892.0,64129.31
BARRINGTON EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARRINGTON EL,05/01/2018 12:00:00 AM,541.0,541.0,0.0,0.0,439842.53
BARTON HILLS EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARTON HILLS EL,05/01/2018 12:00:00 AM,456.0,30.0,11.0,415.0,31600.800000000003
BECKER EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BECKER EL,05/01/2018 12:00:00 AM,447.0,148.0,11.0,288.0,93189.31999999999
BEDICHEK MIDDLE,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BEDICHEK MIDDLE,06/01/2018 12:00:00 AM,780.0,562.0,89.0,130.0,295665.6
BLACKSHEAR EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLACKSHEAR EL,05/01/2018 12:00:00 AM,380.0,233.0,24.0,123.0,181870.31999999998
BLANTON EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLANTON EL,06/01/2018 12:00:00 AM,467.0,301.0,21.0,146.0,206725.65999999997
BLAZIER ELEMENTARY SCHOOL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLAZIER ELEMENTARY SCHOOL,05/01/2018 12:00:00 AM,864.0,487.0,100.0,277.0,325649.4
BOONE EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOONE EL,05/01/2018 12:00:00 AM,540.0,220.0,44.0,276.0,135213.40999999997
BOWIE H S,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOWIE H S,05/01/2018 12:00:00 AM,2873.0,250.0,76.0,2546.0,96799.25
BRENTWOOD EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRENTWOOD EL,05/01/2018 12:00:00 AM,676.0,124.0,16.0,537.0,70219.52
BROOKE EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BROOKE EL,06/01/2018 12:00:00 AM,226.0,226.0,0.0,0.0,184478.38999999996
BRYKER WOODS EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRYKER WOODS EL,05/01/2018 12:00:00 AM,460.0,32.0,9.0,419.0,21996.699999999997
BURNET MIDDLE,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BURNET MIDDLE,05/01/2018 12:00:00 AM,1000.0,843.0,52.0,104.0,472773.05
CAMPBELL EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CAMPBELL EL,05/01/2018 12:00:00 AM,197.0,163.0,10.0,25.0,128509.63999999998
CASEY EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASEY EL,05/01/2018 12:00:00 AM,622.0,346.0,65.0,211.0,263635.48
CASIS EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASIS EL,05/01/2018 12:00:00 AM,770.0,32.0,2.0,736.0,20219.96
CLAYTON EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CLAYTON EL,05/01/2018 12:00:00 AM,844.0,11.0,3.0,831.0,21077.75
COOK EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COOK EL,05/01/2018 12:00:00 AM,467.0,404.0,20.0,44.0,264490.67000000004
COVINGTON MIDDLE,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COVINGTON MIDDLE,05/01/2018 12:00:00 AM,662.0,335.0,60.0,266.0,190215.23
COWAN ELEMENTARY,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COWAN ELEMENTARY,05/01/2018 12:00:00 AM,850.0,241.0,52.0,557.0,139389.96
CROCKETT H S,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CROCKETT H S,06/01/2018 12:00:00 AM,1346.0,751.0,112.0,483.0,290884.5
CUNNINGHAM EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CUNNINGHAM EL,05/01/2018 12:00:00 AM,401.0,232.0,28.0,142.0,143094.34000000003
DAVIS EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAVIS EL,05/01/2018 12:00:00 AM,798.0,192.0,30.0,576.0,85522.36
DAWSON EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAWSON EL,06/01/2018 12:00:00 AM,328.0,228.0,21.0,79.0,206692.96
DILL SPECIAL PROG,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DILL SPECIAL PROG,11/01/2017 12:00:00 AM,0.0,0.0,0.0,0.0,0.0
DOBIE MIDDLE,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE MIDDLE,05/01/2018 12:00:00 AM,614.0,506.0,36.0,72.0,279231.98000000004
DOBIE PK CENTER,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE PK CENTER,05/01/2018 12:00:00 AM,215.0,215.0,0.0,0.0,160230.84000000003
DOSS EL,2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOSS EL,05/01/2018 12:00:00 AM,832.0,105.0,26.0,700.0,76492.16
